,pr_rcp45_mmday,tas_rcp45_C,pr_rcp85_mmday,tas_rcp85_C
2026-01-01,0.21259867,23.32582,0.10055072,22.462893
2026-02-01,0.24786146,26.745073,0.5788493,24.339823
2026-03-01,1.5355175,26.192957,3.376006,24.042221
2026-04-01,3.452297,27.076075,1.894275,28.579842
2026-05-01,4.8690763,27.965015,3.068217,30.003807
2026-06-01,5.726034,29.11992,4.808454,28.834082
2026-07-01,9.465863,26.521276,7.2311463,26.734179
2026-08-01,6.179416,27.218025,9.136902,25.996199
2026-09-01,5.4584613,26.792183,4.6355176,26.038004
2026-10-01,3.2633338,25.6224,4.53696,24.963675
2026-11-01,0.2488114,24.732304,0.8543997,23.972147
2026-12-01,0.09587861,20.90977,1.2731526,21.443655
2027-01-01,0.62416136,22.234327,1.5125107,21.945955
2027-02-01,0.1770481,23.133562,0.19909705,24.401455
2027-03-01,1.7276148,25.285007,3.8347878,26.118984
2027-04-01,3.1828086,26.501518,2.9510102,26.52345
2027-05-01,5.81974,28.08283,4.362719,29.178825
2027-06-01,7.1447744,28.862606,6.868568,28.349516
2027-07-01,7.2421064,27.108652,6.907207,26.821867
2027-08-01,7.044736,26.75033,7.1218877,27.46346
2027-09-01,8.863184,26.19892,4.948177,27.035727
2027-10-01,1.3746111,25.443254,1.1153961,25.672842
2027-11-01,0.23881449,24.443449,0.1886212,25.870024
2027-12-01,0.32760775,22.666067,0.24261944,22.547174
2028-01-01,0.32089478,23.736872,0.37873787,22.125647
2028-02-01,1.4226707,23.900549,0.10963692,25.896593
2028-03-01,4.4129496,24.756388,0.98434114,27.72708
2028-04-01,6.9744625,26.479807,1.9375671,27.680635
2028-05-01,5.228261,27.350803,6.4297566,27.967722
2028-06-01,7.350373,28.122637,4.1048894,29.01711
2028-07-01,9.852547,26.264814,6.970525,26.516186
2028-08-01,12.599048,25.77209,9.721448,25.336899
2028-09-01,5.497063,25.858156,4.5984855,27.12268
2028-10-01,2.8386161,24.047123,3.60056,24.839949
2028-11-01,1.8663597,23.480444,1.8258722,23.588053
2028-12-01,2.5495887,20.86495,0.426437,22.332422
2029-01-01,0.10824476,20.182259,0.087530695,22.473
2029-02-01,0.07796957,24.847055,1.7108392,21.548218
2029-03-01,1.0102407,28.008825,0.4584087,27.625067
2029-04-01,3.019799,28.094673,2.327127,28.177023
2029-05-01,4.091242,29.453928,4.690552,29.463778
2029-06-01,4.4752975,28.492208,3.5597072,30.32804
2029-07-01,8.061978,26.865341,4.879637,29.285063
2029-08-01,6.221386,26.81587,4.959118,27.641047
2029-09-01,4.191288,25.884394,5.3608756,26.207815
2029-10-01,0.70003235,25.70759,2.4802134,25.947023
2029-11-01,0.21465185,26.022793,0.30337554,24.252865
2029-12-01,0.30419892,21.37534,0.3596581,21.885435
2030-01-01,0.19378,21.208437,0.46576774,23.60424
2030-02-01,0.74180883,23.961832,0.22594354,24.689653
2030-03-01,2.7462642,25.08858,0.9873797,29.333735
2030-04-01,2.5178719,26.951944,4.865341,27.878345
2030-05-01,5.6209354,28.839407,4.287691,28.979548
2030-06-01,5.5487566,28.815145,8.14005,28.003357
2030-07-01,9.266447,26.508268,7.4913077,26.499935
2030-08-01,6.881555,26.997189,8.041298,26.21871
2030-09-01,4.9582324,26.905191,5.731111,26.345394
2030-10-01,0.5799585,25.539751,1.7853612,25.812466
2030-11-01,0.34991935,25.617727,0.18188469,24.899813
2030-12-01,0.67934555,22.86023,0.2801691,22.655592
