district,mean_annual_rain,mean_temp,mean_spi3,drought_months,severe_months,lat,lon,drought_freq_pct
Jayashankar Bhupalpally,1129.0,27.674899999999997,-0.022502713819834687,52,21,18.4524,79.9012,17.3
Mulugu,1022.0,27.381233333333338,-0.02175592187077103,53,23,18.1954,80.0588,17.7
Siddipet,891.0,26.19656666666667,-0.019334507211283034,53,22,18.1018,78.8521,17.7
Bhadradri Kothagudem,1106.0,27.3934,-0.018321168181944084,50,21,17.5563,80.6218,16.7
Warangal_Rural,901.0,27.133566666666667,-0.01591665442338287,57,18,17.98,79.59,19.0
Warangal_Urban,901.0,27.133566666666667,-0.01591665442338287,57,18,17.9689,79.5941,19.0
Karimnagar,967.0,27.534966666666666,-0.015754898891006595,56,23,18.4386,79.1288,18.7
Peddapalli,967.0,27.534966666666666,-0.015754898891006595,56,23,18.6149,79.3747,18.7
Mahabubabad,948.0,27.461533333333332,-0.015264796280666074,49,23,17.5999,80.0014,16.3
Hyderabad,838.0,26.047666666666668,-0.015013141600462,55,23,17.385,78.4867,18.3
Rangareddy,838.0,26.047666666666668,-0.015013141600462,55,23,17.3616,78.483,18.3
Medchal_Malkajgiri,838.0,26.047666666666668,-0.015013141600462,55,23,17.61,78.61,18.3
Yadadri Bhuvanagiri,838.0,26.047666666666668,-0.015013141600462,55,23,17.5808,78.9218,18.3
Khammam,907.0,27.933366666666668,-0.014241760139544101,46,28,17.2473,80.1514,15.3
Jangoan,844.0,27.261,-0.013632810806246596,54,21,17.7262,79.1522,18.0
Suryapet,792.0,27.75336666666667,-0.012494584530320551,51,27,17.1411,79.6218,17.0
Nalgonda,792.0,27.75336666666667,-0.012494584530320551,51,27,17.05,79.2667,17.0
Kumuram Bheem,1146.0,27.264466666666667,-0.01241942182313975,50,23,19.2833,79.45,16.7
Mahabubnagar,748.0,26.6537,-0.010926503618896442,49,20,16.7374,77.9891,16.3
Nagarkurnool,748.0,26.6537,-0.010926503618896442,49,20,16.4817,78.3247,16.3
Wanaparthy,748.0,26.6537,-0.010926503618896442,49,20,16.3623,78.0654,16.3
Sangareddy,846.0,25.839033333333333,-0.010706692776360913,51,24,17.624,78.0874,17.0
Vikarabad,846.0,25.839033333333333,-0.010706692776360913,51,24,17.3371,77.9047,17.0
Mancherial,1051.0,27.553266666666666,-0.010661776370571927,51,21,18.8697,79.4597,17.0
Nirmal,912.0,26.9554,-0.008465512236020736,56,24,19.0954,78.3522,18.7
Jogulamba Gadwal,679.0,27.38323333333333,-0.008286311948237868,47,21,16.2342,77.8031,15.7
Adilabad,1005.0,26.937299999999997,-0.00729671251705061,47,21,19.6641,78.532,15.7
Kamareddy,896.0,26.767666666666667,-0.006536578276506928,56,19,18.3228,78.3417,18.7
Nizamabad,896.0,26.767666666666667,-0.006536578276506928,56,19,18.6725,78.094,18.7
Medak,884.0,26.22413333333333,-0.006193018188402878,56,19,18.0445,78.2607,18.7
Narayanpet,724.0,27.08406666666667,-0.006183265827720438,55,20,16.7456,77.495,18.3
Jagtial,946.0,27.057333333333332,-0.005830962106819506,51,26,18.7952,78.9128,17.0
Rajanna Sircilla,915.0,26.8489,-0.0055050624903355645,52,23,18.3866,78.8331,17.3
