district,date,daily_actual,daily_normal,daily_departure,weekly_actual,weekly_normal,weekly_departure,weekly_category,cumulative_actual,cumulative_normal,cumulative_departure,cumulative_category,monthly_actual,monthly_normal,monthly_departure
Adilabad,2026-04-25,0.0,0.4,-100%,0.1,3.9,-97%,LD,10.2,29.1,-65%,LD,3.9,11.6,-66%
B. Kothagudem,2026-04-25,0.0,1.0,-100%,0.0,8.3,-100%,NR,18.1,36.2,-50%,D,8.1,19.9,-59%
Hanumakonda,2026-04-25,0.0,1.7,-100%,0.2,5.4,-96%,LD,1.2,33.2,-96%,LD,1.4,18.6,-93%
Hyderabad,2026-04-25,0.0,0.5,-100%,0.6,5.4,-88%,LD,16.3,33.8,-52%,D,1.4,19.1,-93%
J. Bhupalpally,2026-04-25,0.0,1.3,-100%,2.6,7.2,-64%,LD,3.9,34.9,-89%,LD,2.6,18.6,-86%
Jagtial,2026-04-25,0.0,0.3,-100%,0.0,4.4,-100%,NR,10.6,33.0,-68%,LD,1.9,15.0,-87%
Jangaon,2026-04-25,0.0,0.4,-100%,0.0,8.0,-100%,NR,9.3,36.3,-74%,LD,2.0,17.9,-89%
Jogulamba Gadwal,2026-04-25,0.0,0.3,-100%,15.2,1.7,792%,LE,21.8,22.0,-1%,N,15.2,7.7,97%
Kamareddy,2026-04-25,0.0,0.2,-100%,7.2,6.7,8%,N,28.3,38.2,-26%,D,14.3,17.3,-17%
Karimnagar,2026-04-25,0.0,0.8,-100%,0.0,3.7,-100%,NR,8.0,28.0,-71%,LD,1.7,15.1,-89%
Khammam,2026-04-25,0.0,1.1,-100%,0.0,8.1,-100%,NR,12.7,28.5,-55%,D,0.0,15.5,-100%
Kumaram Bheem,2026-04-25,0.0,1.6,-100%,1.0,6.6,-85%,LD,52.0,31.6,65%,LE,1.8,15.1,-88%
M. Malkajgiri,2026-04-25,0.0,1.0,-100%,11.8,3.5,238%,LE,41.0,38.8,6%,N,12.6,17.5,-28%
Mahabubabad,2026-04-25,0.0,1.5,-100%,0.0,6.4,-100%,NR,2.5,33.1,-92%,LD,0.0,16.3,-100%
Mahabubnagar,2026-04-25,0.2,0.3,-39%,3.6,6.7,-46%,D,19.6,29.6,-34%,D,4.8,17.3,-72%
Mancherial,2026-04-25,0.0,0.01,-100%,0.0,3.8,-100%,NR,30.4,23.1,32%,E,0.1,10.9,-99%
Medak,2026-04-25,0.0,0.1,-100%,6.5,4.8,35%,E,20.5,31.5,-35%,D,7.5,14.7,-49%
Mulugu,2026-04-25,0.2,0.4,-60%,0.0,8.7,-100%,NR,8.7,32.2,-73%,LD,4.8,20.9,-77%
Nagarkurnool,2026-04-25,0.4,0.3,24%,0.6,7.1,-92%,LD,18.4,26.9,-32%,D,1.6,19.4,-92%
Nalgonda,2026-04-25,0.0,0.2,-100%,6.3,6.4,-1%,N,13.0,21.6,-40%,D,10.1,14.6,-31%
Narayanpet,2026-04-25,0.0,0.01,-100%,5.2,3.8,37%,E,11.9,29.4,-59%,D,5.8,12.0,-51%
Nirmal,2026-04-25,0.2,0.1,56%,2.2,3.1,-29%,D,9.9,19.3,-49%,D,2.3,8.8,-73%
Nizamabad,2026-04-25,0.0,0.01,-100%,0.5,4.3,-88%,LD,18.7,26.3,-29%,D,1.9,11.4,-83%
Peddapalle,2026-04-25,0.0,0.5,-100%,0.0,5.1,-100%,NR,6.2,24.8,-75%,LD,0.5,11.4,-96%
Rajanna Sircilla,2026-04-25,0.0,0.1,-100%,1.4,6.3,-78%,LD,17.1,36.7,-53%,D,12.1,18.4,-34%
Rangareddy,2026-04-25,0.0,0.8,-95%,1.0,8.4,-88%,LD,28.8,34.9,-18%,N,2.2,23.5,-91%
Sangareddy,2026-04-25,0.1,0.3,-64%,10.6,4.8,120%,LE,31.1,29.5,5%,N,13.0,19.4,-33%
Siddipet,2026-04-25,0.0,0.1,-100%,0.7,7.7,-90%,LD,4.6,31.6,-85%,LD,3.3,15.7,-79%
Suryapet,2026-04-25,0.0,0.1,-100%,0.0,3.6,-100%,NR,0.5,14.9,-97%,LD,0.4,9.3,-96%
Vikarabad,2026-04-25,0.0,0.6,-100%,3.8,6.4,-41%,D,22.4,35.6,-37%,D,5.4,19.4,-72%
Wanaparthy,2026-04-25,0.0,0.4,-88%,1.1,4.5,-76%,LD,5.8,22.0,-73%,LD,1.3,12.8,-90%
Warangal,2026-04-25,0.0,0.5,-100%,0.0,6.2,-100%,NR,3.2,31.0,-90%,LD,0.3,16.2,-98%
Y. Bhuvanagiri,2026-04-25,1.3,1.4,-5%,0.0,10.0,-100%,NR,4.8,35.1,-86%,LD,1.5,22.5,-93%
