district,latitude,longitude,year,month,rainfall_mm,humidity_pct,temp_mean_c,temp_max_c,temp_min_c,days_in_month,spi3,spi6,spi3_class
Adilabad,19.6641,78.532,2000,1,0.0,32.46,22.01,34.55,8.28,31,-1.731664396122245,-3.0114537584997843,Severe Drought
Adilabad,19.6641,78.532,2000,2,29.87,41.46,24.24,35.28,11.34,29,-1.382994127100638,-3.0114537584997843,Moderate Drought
Adilabad,19.6641,78.532,2000,3,0.0,17.99,28.13,40.62,13.18,31,0.013591131895518593,-3.0114537584997843,Normal
Adilabad,19.6641,78.532,2000,4,0.3,19.12,35.03,45.63,19.76,30,0.0030441683706730217,-3.0114537584997843,Normal
Adilabad,19.6641,78.532,2000,5,33.48,37.05,34.33,45.47,25.21,31,-0.33777270069265647,-3.0114537584997843,Normal
Adilabad,19.6641,78.532,2000,6,113.4,66.55,29.07,37.07,23.33,30,-0.6993047542031808,-0.7676750284180914,Watch
Adilabad,19.6641,78.532,2000,7,236.22,79.94,26.6,35.07,21.72,31,-0.6728397012996151,-0.7423015730975172,Watch
Adilabad,19.6641,78.532,2000,8,238.7,84.03,26.24,31.91,21.88,31,-0.6775720116174755,-0.8159658183393228,Watch
Adilabad,19.6641,78.532,2000,9,60.9,81.57,26.1,32.04,20.76,30,-0.9642937106115617,-1.1389716236627483,Watch
Adilabad,19.6641,78.532,2000,10,8.37,61.9,26.65,36.64,15.81,31,-1.3853939634859702,-1.2740923204827652,Moderate Drought
Adilabad,19.6641,78.532,2000,11,0.3,42.29,24.59,35.04,14.43,30,-2.1578740430620367,-1.3908017097712768,Extreme Drought
Adilabad,19.6641,78.532,2000,12,4.65,19.62,21.71,33.36,9.57,31,-1.5616399245469315,-1.2230447366072272,Severe Drought
Adilabad,19.6641,78.532,2001,1,11.47,33.21,22.55,35.47,9.52,31,-0.014681674706297897,-1.4587503728822084,Normal
Adilabad,19.6641,78.532,2001,2,0.0,18.4,26.09,38.86,11.93,28,0.06402008817170923,-2.1578481785201538,Normal
Adilabad,19.6641,78.532,2001,3,17.36,30.71,30.2,40.75,19.2,31,-0.02566474529098646,-1.1852388256166906,Normal
Adilabad,19.6641,78.532,2001,4,42.3,34.61,32.29,45.21,19.63,30,0.8182448584312061,0.4440128730446201,Normal
Adilabad,19.6641,78.532,2001,5,15.5,28.93,36.04,46.4,27.07,31,0.7468835638731555,0.5141570973727332,Normal
Adilabad,19.6641,78.532,2001,6,140.4,68.2,28.4,41.42,20.5,30,0.23402346820211029,0.08039807206457403,Normal
Adilabad,19.6641,78.532,2001,7,138.26,73.77,27.44,37.06,22.06,31,-1.425833091735571,-1.2278507821200928,Moderate Drought
Adilabad,19.6641,78.532,2001,8,222.27,86.14,25.6,31.04,21.64,31,-1.3336527594453091,-1.155291152567393,Moderate Drought
Adilabad,19.6641,78.532,2001,9,83.7,79.67,26.63,33.67,21.48,30,-1.6005824615500948,-1.3892571158002673,Severe Drought
Adilabad,19.6641,78.532,2001,10,131.13,81.83,24.24,30.63,15.35,31,-0.023664295226367663,-1.0370629094221273,Normal
Adilabad,19.6641,78.532,2001,11,0.3,68.07,22.8,32.49,12.59,30,0.006179767943500791,-1.046114901515865,Normal
Adilabad,19.6641,78.532,2001,12,0.0,43.72,20.69,32.81,9.43,31,1.4278735949172403,-1.054109576467366,Normal
Adilabad,19.6641,78.532,2002,1,25.42,45.09,21.29,33.77,9.44,31,0.3399905314102679,-0.040396474008222195,Normal
Adilabad,19.6641,78.532,2002,2,4.76,35.25,26.31,37.7,13.94,28,0.619030335215799,0.06892207995192355,Normal
Adilabad,19.6641,78.532,2002,3,2.17,21.96,30.55,41.7,17.77,31,0.10358068346695387,1.103653716455045,Normal
Adilabad,19.6641,78.532,2002,4,4.2,20.04,34.74,44.81,21.36,30,-0.9176571490947059,-0.620541780360007,Watch
Adilabad,19.6641,78.532,2002,5,31.62,29.69,36.34,45.99,26.57,31,-0.19550893713133138,-0.019358444716597846,Normal
Adilabad,19.6641,78.532,2002,6,218.4,64.32,30.28,41.95,22.92,30,1.089281901657391,0.9409933158417177,Normal
Adilabad,19.6641,78.532,2002,7,107.26,73.87,27.91,34.71,22.82,31,-0.8778127081243181,-1.1037936305562794,Watch
Adilabad,19.6641,78.532,2002,8,370.14,86.64,25.63,30.79,21.28,31,0.04440553282665593,-0.057520848839949464,Normal
Adilabad,19.6641,78.532,2002,9,57.6,82.08,25.65,31.76,19.85,30,-0.9696452247975759,-0.5284099908166151,Watch
Adilabad,19.6641,78.532,2002,10,38.44,70.48,25.11,33.1,14.34,31,0.24421930787621762,-0.5249468184272474,Normal
Adilabad,19.6641,78.532,2002,11,2.1,48.16,23.23,34.29,12.55,30,-1.5725132670771371,-0.6133047561025975,Severe Drought
Adilabad,19.6641,78.532,2002,12,0.0,33.29,23.31,34.2,12.98,31,-0.3687308801582345,-1.0548618639778984,Normal
Adilabad,19.6641,78.532,2003,1,0.0,31.24,23.1,36.12,8.28,31,-1.0986366500575167,0.009262871845777105,Moderate Drought
Adilabad,19.6641,78.532,2003,2,13.72,38.51,27.23,38.47,15.93,28,-0.05806810717602066,-1.6576270702431188,Normal
Adilabad,19.6641,78.532,2003,3,18.91,29.21,29.84,41.17,14.4,31,0.11344277821781223,-0.37261395716707524,Normal
Adilabad,19.6641,78.532,2003,4,9.6,25.11,34.73,45.27,22.32,30,0.38179909182275185,-0.3718905659847714,Normal
Adilabad,19.6641,78.532,2003,5,0.0,19.0,36.16,45.64,23.95,31,-0.5344512614314271,-0.7926705683143068,Watch
Adilabad,19.6641,78.532,2003,6,167.1,54.6,31.67,46.61,23.01,30,-0.13688306463585817,-0.20406206093473228,Normal
Adilabad,19.6641,78.532,2003,7,351.54,84.17,26.49,31.96,23.01,31,0.27263668807673763,0.2862238814041298,Normal
Adilabad,19.6641,78.532,2003,8,255.13,87.99,25.62,30.45,21.12,31,0.5226334560127955,0.3699069153561303,Normal
Adilabad,19.6641,78.532,2003,9,103.8,88.02,25.42,30.48,21.47,30,0.06799954699268526,-0.01280570451736202,Normal
Adilabad,19.6641,78.532,2003,10,72.54,83.77,24.11,30.97,14.74,31,-0.07689154816617345,0.11898329200910555,Normal
