district,latitude,longitude,year,month,rainfall_mm,humidity_pct,temp_mean_c,temp_max_c,temp_min_c
Adilabad,19.6641,78.532,2000,1,0.0,32.46,22.01,34.55,8.28
Adilabad,19.6641,78.532,2000,2,1.03,41.46,24.24,35.28,11.34
Adilabad,19.6641,78.532,2000,3,0.0,17.99,28.13,40.62,13.18
Adilabad,19.6641,78.532,2000,4,0.01,19.12,35.03,45.63,19.76
Adilabad,19.6641,78.532,2000,5,1.08,37.05,34.33,45.47,25.21
Adilabad,19.6641,78.532,2000,6,3.78,66.55,29.07,37.07,23.33
Adilabad,19.6641,78.532,2000,7,7.62,79.94,26.6,35.07,21.72
Adilabad,19.6641,78.532,2000,8,7.7,84.03,26.24,31.91,21.88
Adilabad,19.6641,78.532,2000,9,2.03,81.57,26.1,32.04,20.76
Adilabad,19.6641,78.532,2000,10,0.27,61.9,26.65,36.64,15.81
Adilabad,19.6641,78.532,2000,11,0.01,42.29,24.59,35.04,14.43
Adilabad,19.6641,78.532,2000,12,0.15,19.62,21.71,33.36,9.57
Adilabad,19.6641,78.532,2000,13,1.98,48.66,27.06,45.63,8.28
Adilabad,19.6641,78.532,2001,1,0.37,33.21,22.55,35.47,9.52
Adilabad,19.6641,78.532,2001,2,0.0,18.4,26.09,38.86,11.93
Adilabad,19.6641,78.532,2001,3,0.56,30.71,30.2,40.75,19.2
Adilabad,19.6641,78.532,2001,4,1.41,34.61,32.29,45.21,19.63
Adilabad,19.6641,78.532,2001,5,0.5,28.93,36.04,46.4,27.07
Adilabad,19.6641,78.532,2001,6,4.68,68.2,28.4,41.42,20.5
Adilabad,19.6641,78.532,2001,7,4.46,73.77,27.44,37.06,22.06
Adilabad,19.6641,78.532,2001,8,7.17,86.14,25.6,31.04,21.64
Adilabad,19.6641,78.532,2001,9,2.79,79.67,26.63,33.67,21.48
Adilabad,19.6641,78.532,2001,10,4.23,81.83,24.24,30.63,15.35
Adilabad,19.6641,78.532,2001,11,0.01,68.07,22.8,32.49,12.59
Adilabad,19.6641,78.532,2001,12,0.0,43.72,20.69,32.81,9.43
