state,district,agro_zone,latitude,longitude,year,scenario,drought_probability,proj_rainfall_mm,proj_temp_c,base_drought_freq,ndvi_class,data_source
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2026,SSP2-4.5,0.4367,628.5,27.59,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2027,SSP2-4.5,0.4308,626.0,27.69,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2028,SSP2-4.5,0.4533,623.4,27.78,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2029,SSP2-4.5,0.4777,620.9,27.87,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2030,SSP2-4.5,0.4494,618.4,27.97,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2031,SSP2-4.5,0.4564,615.9,28.06,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2032,SSP2-4.5,0.4996,613.3,28.15,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2033,SSP2-4.5,0.4904,610.8,28.25,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2034,SSP2-4.5,0.4727,608.3,28.34,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2035,SSP2-4.5,0.5001,605.8,28.43,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2036,SSP2-4.5,0.4871,603.2,28.53,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2037,SSP2-4.5,0.4942,600.7,28.62,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2038,SSP2-4.5,0.5156,598.2,28.71,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2039,SSP2-4.5,0.4798,595.7,28.81,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2040,SSP2-4.5,0.4908,593.1,28.9,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2026,SSP5-8.5,0.4214,626.8,27.64,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2027,SSP5-8.5,0.4252,622.6,27.78,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2028,SSP5-8.5,0.4647,618.4,27.92,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2029,SSP5-8.5,0.4533,614.2,28.06,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2030,SSP5-8.5,0.4564,610.0,28.2,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2031,SSP5-8.5,0.5273,605.8,28.34,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2032,SSP5-8.5,0.5069,601.6,28.48,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2033,SSP5-8.5,0.5263,597.3,28.62,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2034,SSP5-8.5,0.5102,593.1,28.76,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2035,SSP5-8.5,0.5416,588.9,28.9,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2036,SSP5-8.5,0.5687,584.7,29.04,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2037,SSP5-8.5,0.5576,580.5,29.18,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2038,SSP5-8.5,0.6024,576.3,29.32,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2039,SSP5-8.5,0.5972,572.1,29.46,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kurnool,Rayalaseema,15.8281,78.0373,2040,SSP5-8.5,0.6179,567.9,29.6,0.42,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2026,SSP2-4.5,0.4757,550.8,27.59,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2027,SSP2-4.5,0.5325,548.6,27.69,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2028,SSP2-4.5,0.503,546.4,27.78,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2029,SSP2-4.5,0.4899,544.2,27.87,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2030,SSP2-4.5,0.5354,541.9,27.97,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2031,SSP2-4.5,0.5025,539.7,28.06,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2032,SSP2-4.5,0.5391,537.5,28.15,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2033,SSP2-4.5,0.5037,535.3,28.25,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2034,SSP2-4.5,0.5244,533.1,28.34,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2035,SSP2-4.5,0.563,530.9,28.43,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2036,SSP2-4.5,0.582,528.7,28.53,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2037,SSP2-4.5,0.5789,526.5,28.62,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2038,SSP2-4.5,0.5814,524.2,28.71,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2039,SSP2-4.5,0.586,522.0,28.81,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2040,SSP2-4.5,0.5708,519.8,28.9,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2026,SSP5-8.5,0.4801,549.3,27.64,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2027,SSP5-8.5,0.4999,545.6,27.78,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2028,SSP5-8.5,0.545,541.9,27.92,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2029,SSP5-8.5,0.5457,538.3,28.06,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2030,SSP5-8.5,0.5186,534.6,28.2,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2031,SSP5-8.5,0.5756,530.9,28.34,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2032,SSP5-8.5,0.5768,527.2,28.48,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2033,SSP5-8.5,0.5864,523.5,28.62,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2034,SSP5-8.5,0.6279,519.8,28.76,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2035,SSP5-8.5,0.6521,516.1,28.9,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2036,SSP5-8.5,0.6661,512.4,29.04,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2037,SSP5-8.5,0.6468,508.8,29.18,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2038,SSP5-8.5,0.6736,505.1,29.32,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2039,SSP5-8.5,0.7029,501.4,29.46,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Anantapur,Rayalaseema,14.6819,77.6006,2040,SSP5-8.5,0.7323,497.7,29.6,0.48,arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2026,SSP2-4.5,0.3765,713.1,27.59,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2027,SSP2-4.5,0.3885,710.3,27.69,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2028,SSP2-4.5,0.3763,707.4,27.78,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2029,SSP2-4.5,0.3807,704.5,27.87,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2030,SSP2-4.5,0.4271,701.7,27.97,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2031,SSP2-4.5,0.4443,698.8,28.06,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
Andhra Pradesh,Kadapa,Rayalaseema,14.4674,78.8242,2032,SSP2-4.5,0.422,696.0,28.15,0.38,semi-arid,NASA POWER baseline + IPCC AR6 SSP rates
