district,year,scenario,latitude,longitude,drought_probability,cdsi_mean,vulnerability
Adilabad,2026,SSP2-4.5,19.6641,78.532,0.13629384311396625,-0.2340788915687017,0.45
Bhadradri Kothagudem,2026,SSP2-4.5,17.5543,80.6198,0.11287468588688458,-0.2800557695109713,0.4
Hyderabad,2026,SSP2-4.5,17.385,78.4867,0.08801730284632757,-0.3473725712834367,0.3
Jagtial,2026,SSP2-4.5,18.7945,78.9182,0.18749327550999986,-0.14359242179038256,0.48
Jangaon,2026,SSP2-4.5,17.726,79.1522,0.2225550524754217,-0.0006339432608907539,0.6
Jayashankar Bhupalpally,2026,SSP2-4.5,18.4352,79.9537,0.17284775478007225,-0.13905466788752813,0.52
Jogulamba Gadwal,2026,SSP2-4.5,16.2305,77.8058,0.3694307532745826,0.3114334070522622,0.83
Kamareddy,2026,SSP2-4.5,18.322,78.334,0.23626055999356854,-0.0067405920753617074,0.68
Karimnagar,2026,SSP2-4.5,18.4386,79.1288,0.14989054666095045,-0.14480813373757317,0.5
Khammam,2026,SSP2-4.5,17.2473,80.1514,0.09095840501469903,-0.25390536923556684,0.42
Kumuram Bheem Asifabad,2026,SSP2-4.5,19.3584,79.2806,0.15297578982272783,-0.17158852635779312,0.52
Mahabubabad,2026,SSP2-4.5,17.5974,80.0015,0.18990023063828598,-0.07617780342892458,0.58
Mahbubnagar,2026,SSP2-4.5,16.7488,77.9855,0.38235290784873693,0.2531499672465558,0.85
Mancherial,2026,SSP2-4.5,18.8681,79.4616,0.12216095409083663,-0.2745900820116901,0.42
Medak,2026,SSP2-4.5,18.0531,78.2604,0.2932214808478207,0.11956179042908147,0.72
Medchal Malkajgiri,2026,SSP2-4.5,17.5329,78.5076,0.09358440077665921,-0.2740721142671792,0.35
Mulugu,2026,SSP2-4.5,18.1901,80.0584,0.16556460514596763,-0.11206727929480169,0.48
Nagarkurnool,2026,SSP2-4.5,16.4806,78.3131,0.3682823987219014,0.2850775255098739,0.82
Nalgonda,2026,SSP2-4.5,17.0583,79.2671,0.3274069431220698,0.2096830916724139,0.8
Narayanpet,2026,SSP2-4.5,16.7447,77.496,0.4630788165001273,0.40783358560740174,0.88
Nirmal,2026,SSP2-4.5,19.096,78.3446,0.1378026624314142,-0.17147300476317023,0.5
Nizamabad,2026,SSP2-4.5,18.6725,78.094,0.18410921959302143,-0.07455170592776075,0.55
Peddapalli,2026,SSP2-4.5,18.6151,79.3782,0.1281555016743757,-0.24040577172402872,0.45
Rajanna Sircilla,2026,SSP2-4.5,18.3873,78.8101,0.160202592156054,-0.09152834971016892,0.55
Rangareddy,2026,SSP2-4.5,17.2543,78.1317,0.23232266594268416,0.03369918235929445,0.65
Sangareddy,2026,SSP2-4.5,17.6247,78.0891,0.23038512225652968,0.02860638398059495,0.62
Siddipet,2026,SSP2-4.5,18.1019,78.8529,0.16516291339324296,-0.10148314719183862,0.55
Suryapet,2026,SSP2-4.5,17.14,79.6286,0.24739913570901229,0.0067664489378533865,0.65
Vikarabad,2026,SSP2-4.5,17.3384,77.9048,0.2740350326911683,0.06953789165287085,0.7
Wanaparthy,2026,SSP2-4.5,16.3625,78.0612,0.3332222945596467,0.18805246191494382,0.78
Warangal Rural,2026,SSP2-4.5,17.9689,79.5941,0.17613250986325435,-0.10858765800172186,0.58
Warangal Urban,2026,SSP2-4.5,17.9784,79.5941,0.10170124370298735,-0.23728356695468908,0.4
Yadadri Bhuvanagiri,2026,SSP2-4.5,17.5858,78.959,0.19117077215828662,-0.09192503116118793,0.6
Adilabad,2027,SSP2-4.5,19.6641,78.532,0.1373942737922582,-0.22506609069525627,0.45
Bhadradri Kothagudem,2027,SSP2-4.5,17.5543,80.6198,0.11370072079302179,-0.2765724402211819,0.4
Hyderabad,2027,SSP2-4.5,17.385,78.4867,0.08799468839330156,-0.34715171047379323,0.3
Jagtial,2027,SSP2-4.5,18.7945,78.9182,0.19066474055870528,-0.13933034088877,0.48
Jangaon,2027,SSP2-4.5,17.726,79.1522,0.2271830795105753,0.013684326834381502,0.6
Jayashankar Bhupalpally,2027,SSP2-4.5,18.4352,79.9537,0.17427419863069132,-0.13650152245088462,0.52
Jogulamba Gadwal,2027,SSP2-4.5,16.2305,77.8058,0.3776122882883728,0.3352158058037554,0.83
Kamareddy,2027,SSP2-4.5,18.322,78.334,0.2389976566141024,0.008080445408346994,0.68
Karimnagar,2027,SSP2-4.5,18.4386,79.1288,0.15159003690827624,-0.13702887598720354,0.5
Khammam,2027,SSP2-4.5,17.2473,80.1514,0.09314250117472853,-0.2519347225634475,0.42
Kumuram Bheem Asifabad,2027,SSP2-4.5,19.3584,79.2806,0.15871370821207006,-0.15753428309477432,0.52
Mahabubabad,2027,SSP2-4.5,17.5974,80.0015,0.19329701563819898,-0.06715833810274764,0.58
Mahbubnagar,2027,SSP2-4.5,16.7488,77.9855,0.39046839136152217,0.265743107380016,0.85
Mancherial,2027,SSP2-4.5,18.8681,79.4616,0.12251887308904699,-0.27263389611467964,0.42
Medak,2027,SSP2-4.5,18.0531,78.2604,0.29890899542908256,0.1360491285516137,0.72
Medchal Malkajgiri,2027,SSP2-4.5,17.5329,78.5076,0.09308537030513303,-0.27279441544120764,0.35
Mulugu,2027,SSP2-4.5,18.1901,80.0584,0.16737018202422113,-0.10545763345109159,0.48
Nagarkurnool,2027,SSP2-4.5,16.4806,78.3131,0.37706915587208545,0.3013927412646153,0.82
