feature,importance
ndvi_x_sm,0.13135405241705675
soil_moisture,0.1283804094217113
rainfall_mm_lag3,0.12003118946403968
ndvi_roll3,0.0786503985714422
soil_moisture_roll3,0.07792785673658686
ndvi_lag3,0.06747409137721952
rainfall_mm,0.0583598947841412
soil_moisture_lag3,0.05769699709959878
ndvi,0.051457649305868144
lst_celsius,0.04740543373977878
rainfall_mm_roll3,0.04488909300674272
lst_celsius_lag3,0.04048675090230449
rainfall_mm_lag1,0.02909820036410819
soil_moisture_lag1,0.02415121198746447
ndvi_lag1,0.022202229662597238
lst_celsius_lag1,0.020434541159339785
